32640, 256
256, 32384
0, 1024
32640, 32384
512, 1024
32384, 31872
768, 2304
32256, 31616
1280, 1792
32000, 32384
1536, 32512
32128, 1536
1024, 32000
32512, 1024
0, 32256
32640, 1024
512, 32384
0, 512
0, 0
0, 32640
32640, 0
512, 0
32640, 256
32640, 32640
768, 512
32256, 32512
1536, 256
31872, 256
1280, 32384
32256, 1280
768, 32000
32640, 2048
512, 31872
32384, 1280
768, 32256
32256, 512
768, 256
0, 32512
0, 1280
32640, 31744
768, 1536
32256, 32512
768, 0
256, 256
32128, 0
1792, 32384
32256, 1792
256, 31872
0, 1536
256, 32000
32640, 1792
0, 31872
1024, 2048
31872, 32000
2048, 1024
31744, 32640
1792, 0
32384, 32640
512, 768
32640, 32384
0, 1280
32512, 32384
1280, 256
32384, 0
256, 0
256, 768
32512, 32128
512, 2048
256, 31872
32640, 1280
0, 32512
768, 256
32128, 32640
1024, 256
32640, 256
256, 32384
256, 1280
32512, 31872
512, 1792
32384, 32256
1024, 512
32640, 0
0, 32640
512, 512
32512, 0
256, 32640
512, 768
32512, 32256
768, 1280
32512, 32640
768, 32512
32640, 1536
512, 31744
32384, 2048
1536, 32256
32000, 768
1792, 768
32128, 32128
1280, 1536
32384, 32128
1280, 1536
32000, 32512
2048, 768
31872, 32384
2304, 1280
31616, 32128
2560, 1536
31616, 32256
2304, 1024
32128, 32512
768, 768
32640, 32256
256, 1536
0, 32256
1024, 1280
32128, 32384
1536, 768
32256, 32512
768, 768
256, 0
32512, 32640
1024, 1024
32640, 32384
512, 512
32640, 256
256, 32640
256, 1024
512, 0
0, 32384
256, 1792
512, 32000
32512, 2048
1792, 32128
31872, 1280
2304, 32512
31872, 1280
2816, 32256
31488, 1792
3584, 32128
31104, 1024
3072, 512
31872, 32512
2048, 1280
32256, 32640
768, 0
0, 0
0, 1024
512, 32512
512, 1024
32384, 32512
1280, 0
32640, 1280
0, 32128
768, 1792
32384, 32256
1024, 512
0, 512
0, 32640
0, 256
512, 256
0, 0
0, 32640
256, 2048
32640, 31232
1024, 3328
32384, 31360
768, 2560
32384, 32000
1024, 1536
32384, 32000
1280, 1280
32000, 0
2304, 32256
31744, 1792
2048, 32256
32000, 768
1024, 32384
32640, 1280
768, 32384
32640, 1536
32640, 32000
1024, 1024
32512, 256
256, 256
512, 512
32512, 32384
1024, 1024
32640, 32512
256, 1536
0, 32000
512, 1536
32512, 32640
1024, 256
32512, 512
768, 32640
32384, 768
768, 32512
32384, 1280
1536, 32384
32128, 768
768, 512
256, 32256
32512, 1536
768, 32512
32512, 512
256, 256
256, 32640
0, 768
32640, 32512
1024, 1280
32128, 32128
1280, 1792
32256, 32512
1280, 0
32128, 768
1792, 32512
31744, 1024
1536, 32640
32640, 256
32640, 256
768, 512
32128, 32640
1024, 256
32640, 32640
0, 768
0, 0
32512, 0
768, 32640
32512, 512
256, 0
32512, 256
256, 32384
0, 1024
32640, 32128
512, 1792
32384, 31872
512, 1536
32640, 32000
32512, 1536
1024, 32256
32128, 512
1024, 32384
32256, 1280
768, 32384
32384, 256
256, 768
256, 31744
32384, 2560
512, 32000
32384, 1536
1024, 32256
32256, 768
256, 32512
0, 512
32512, 768
1024, 32384
32128, 1024
1024, 32512
32384, 32512
256, 1792
0, 32256
32384, 512
768, 512
32640, 32256
256, 1792
